Date, Open, High, Low, Close
01/21/19, 274.99, 275.14, 272.29, 274.00
01/18/19, 273.02, 273.95, 272.56, 273.88
01/17/19, 271.66, 273.05, 270.81, 271.88
01/16/19, 269.96, 271.28, 269.05, 271.23
01/15/19, 265.62, 270.02, 265.37, 269.93
01/14/19, 266.22, 266.70, 264.23, 264.99
01/11/19, 266.58, 267.58, 265.56, 267.13
01/10/19, 265.73, 266.85, 264.61, 265.55
01/09/19, 260.95, 266.05, 260.87, 265.60
01/08/19, 261.29, 262.43, 259.39, 259.65
01/07/19, 261.11, 263.13, 260.76, 261.57
01/04/19, 255.62, 258.12, 254.55, 257.89
01/03/19, 258.19, 258.70, 255.35, 255.77
01/02/19, 263.35, 263.77, 257.47, 258.23
12/28/18, 261.61, 262.85, 261.27, 261.98
12/27/18, 261.53, 261.71, 259.73, 260.57
12/26/18, 261.09, 262.49, 259.35, 260.98
12/24/18, 263.51, 265.09, 262.96, 264.45
12/21/18, 263.66, 265.06, 263.15, 265.06
12/20/18, 265.13, 266.34, 263.12, 264.81
12/19/18, 266.02, 267.55, 265.26, 267.31
12/18/18, 264.42, 266.83, 263.93, 265.18
12/17/18, 265.81, 267.19, 265.41, 266.33
12/14/18, 269.69, 269.69, 264.44, 265.55
12/13/18, 269.07, 271.06, 268.22, 269.41
12/12/18, 266.00, 268.84, 265.55, 268.47
12/11/18, 265.87, 265.99, 263.87, 264.69
12/10/18, 264.55, 266.20, 263.63, 265.35
12/07/18, 268.97, 269.66, 267.03, 268.28
12/06/18, 270.18, 270.18, 266.61, 267.18
12/05/18, 269.53, 272.38, 269.47, 271.49
12/04/18, 275.08, 275.72, 272.03, 273.29
12/03/18, 275.70, 276.98, 273.59, 276.18
11/30/18, 274.53, 275.51, 270.88, 271.35
11/29/18, 277.08, 277.54, 273.40, 274.16
11/28/18, 272.64, 273.53, 271.35, 273.45
11/27/18, 270.90, 272.47, 269.27, 272.08
11/26/18, 266.43, 269.95, 266.41, 269.79
11/23/18, 268.12, 268.54, 264.86, 266.33
11/22/18, 268.51, 269.11, 267.15, 267.76
11/21/18, 265.96, 268.49, 264.95, 268.27
11/20/18, 268.54, 270.58, 268.54, 269.58
11/19/18, 272.01, 274.05, 270.83, 272.31
11/16/18, 272.95, 273.52, 271.06, 271.65
11/15/18, 267.93, 271.69, 267.68, 271.54
11/14/18, 269.58, 270.01, 267.75, 268.88
11/13/18, 267.03, 269.89, 264.63, 269.70
11/12/18, 268.66, 272.27, 268.64, 271.57
11/09/18, 272.25, 273.57, 270.85, 271.33
11/08/18, 274.88, 276.34, 272.07, 272.11
11/07/18, 271.43, 273.79, 269.77, 270.45
11/06/18, 271.01, 272.01, 268.57, 271.57
11/05/18, 270.22, 270.45, 266.67, 270.07
11/02/18, 266.16, 272.79, 265.82, 272.56
11/01/18, 264.72, 266.97, 262.77, 262.95
10/31/18, 263.55, 264.14, 261.03, 264.01
10/30/18, 259.15, 264.74, 259.06, 262.47
10/29/18, 262.82, 265.29, 259.84, 260.19
10/26/18, 267.04, 267.04, 260.16, 262.69
10/25/18, 264.46, 267.09, 262.97, 266.72
10/24/18, 274.07, 274.24, 270.64, 271.36
10/23/18, 277.31, 277.57, 270.72, 272.54
10/22/18, 276.78, 279.89, 275.99, 279.40
10/19/18, 275.08, 279.03, 273.81, 278.63
10/18/18, 278.73, 280.01, 277.30, 277.48
10/17/18, 280.07, 281.99, 279.10, 280.05
10/16/18, 278.73, 279.52, 276.22, 276.90
10/15/18, 278.35, 278.91, 276.49, 277.19
10/12/18, 275.82, 281.26, 275.43, 279.37
10/11/18, 281.52, 282.65, 275.15, 275.15
10/10/18, 290.23, 290.37, 286.92, 287.85
10/08/18, 290.02, 292.29, 289.91, 289.91
10/05/18, 291.42, 292.66, 289.33, 291.28
10/04/18, 296.42, 296.42, 291.26, 291.78
10/02/18, 300.20, 300.93, 296.36, 296.53
10/01/18, 301.55, 301.97, 299.30, 300.17
09/28/18, 302.53, 302.64, 299.83, 300.51
09/27/18, 299.54, 302.60, 299.54, 302.59
09/21/18, 299.84, 300.81, 298.90, 300.81
09/20/18, 297.47, 300.45, 297.12, 299.04
09/19/18, 297.63, 297.72, 295.50, 296.64
09/18/18, 293.06, 296.51, 293.03, 296.10
09/17/18, 296.70, 296.74, 294.14, 295.23
09/14/18, 295.19, 297.38, 295.04, 297.29
09/13/18, 292.50, 293.42, 291.78, 292.42
09/12/18, 292.74, 293.29, 290.89, 292.35
09/11/18, 293.42, 294.75, 291.49, 292.46
09/10/18, 292.37, 294.06, 292.25, 293.70
09/07/18, 292.26, 293.79, 290.69, 292.86
09/06/18, 294.23, 295.82, 293.62, 294.28
09/05/18, 297.89, 298.40, 294.37, 294.96
09/04/18, 297.72, 299.20, 296.86, 298.80
09/03/18, 299.15, 299.28, 296.85, 297.49
08/31/18, 296.49, 300.07, 296.09, 300.07
08/30/18, 298.44, 299.99, 297.37, 298.05
08/29/18, 297.31, 298.23, 296.63, 298.05
08/28/18, 298.67, 298.95, 296.60, 297.22
08/27/18, 296.21, 297.34, 295.30, 296.83
08/24/18, 293.26, 295.91, 292.53, 295.54
08/23/18, 294.21, 294.37, 292.39, 294.29
08/22/18, 292.45, 293.83, 291.93, 293.00
08/21/18, 288.51, 292.41, 287.94, 291.93
08/20/18, 289.78, 290.93, 288.15, 288.61
08/17/18, 288.57, 289.35, 287.78, 288.57
08/16/18, 287.10, 289.05, 285.42, 288.24
08/14/18, 290.03, 291.64, 289.61, 291.08
08/13/18, 291.21, 292.09, 288.11, 289.85
08/10/18, 295.93, 296.10, 293.05, 293.64
08/09/18, 297.23, 297.41, 295.61, 297.41
08/08/18, 297.97, 298.46, 296.78, 297.19
08/07/18, 295.79, 297.38, 294.37, 297.18
08/06/18, 295.79, 297.37, 294.78, 295.24
08/03/18, 294.45, 295.85, 293.59, 295.61
08/02/18, 298.25, 298.54, 292.89, 293.55
08/01/18, 298.32, 299.96, 298.06, 298.69
07/31/18, 297.01, 297.79, 296.14, 297.45
07/30/18, 297.01, 298.00, 295.99, 297.29
07/27/18, 297.29, 297.88, 296.21, 297.78
07/26/18, 296.20, 298.22, 295.11, 296.95
07/25/18, 295.99, 297.17, 294.29, 294.85
07/24/18, 294.92, 296.05, 293.28, 295.49
07/23/18, 296.81, 296.81, 293.80, 294.56
07/20/18, 295.78, 297.52, 294.05, 296.95
07/19/18, 297.71, 297.94, 295.52, 295.90
07/18/18, 299.20, 300.24, 296.08, 296.47
07/17/18, 297.46, 298.15, 295.74, 296.88
07/16/18, 298.71, 299.56, 297.06, 297.37
07/13/18, 295.88, 298.99, 295.86, 298.65
07/12/18, 294.94, 296.63, 293.77, 294.41
07/11/18, 293.80, 295.27, 291.77, 294.43
07/10/18, 297.14, 297.99, 295.84, 296.19
07/09/18, 293.88, 296.63, 292.58, 295.20
07/06/18, 292.04, 294.73, 290.09, 293.11
07/05/18, 292.12, 293.60, 289.90, 291.63
07/04/18, 293.54, 294.63, 291.87, 292.26
07/03/18, 294.89, 295.06, 290.89, 293.35
07/02/18, 299.12, 300.04, 292.93, 292.93
06/29/18, 299.37, 300.28, 295.97, 299.66
06/28/18, 299.91, 300.83, 297.72, 298.26
06/27/18, 302.73, 304.29, 301.92, 302.25
06/26/18, 300.30, 303.83, 299.50, 302.76
06/25/18, 302.77, 303.99, 300.69, 303.37
06/22/18, 298.81, 303.72, 298.71, 303.69
06/21/18, 304.06, 305.04, 301.02, 301.02
06/20/18, 302.95, 305.69, 301.83, 304.02
06/19/18, 304.92, 305.79, 300.74, 301.35
06/18/18, 308.73, 308.95, 303.77, 305.35
06/15/18, 312.43, 312.55, 308.71, 308.73
06/14/18, 314.60, 314.82, 311.03, 311.20
06/12/18, 317.81, 318.30, 316.21, 316.84
06/11/18, 315.24, 317.35, 314.24, 317.22
06/08/18, 316.94, 317.25, 314.53, 314.97
06/07/18, 317.94, 319.19, 317.03, 317.67
06/05/18, 315.12, 316.07, 312.83, 315.76
06/04/18, 313.70, 315.46, 313.26, 314.84
06/01/18, 310.13, 314.14, 309.87, 313.22
05/31/18, 312.01, 312.26, 309.84, 310.92
05/30/18, 314.64, 315.20, 308.07, 309.26
05/29/18, 318.70, 319.40, 316.18, 316.20
05/28/18, 318.37, 319.99, 318.04, 318.99
05/25/18, 315.92, 318.88, 315.43, 318.05
05/24/18, 318.93, 319.46, 316.55, 317.48
05/23/18, 316.45, 319.04, 316.01, 318.31
05/21/18, 315.74, 317.19, 313.45, 316.25
05/18/18, 315.50, 315.80, 314.46, 315.37
05/17/18, 317.33, 317.77, 314.29, 314.29
05/16/18, 313.81, 316.62, 313.78, 315.97
05/15/18, 317.73, 318.35, 314.57, 314.94
05/14/18, 318.93, 319.50, 317.09, 317.72
05/11/18, 318.03, 319.70, 317.86, 318.51
05/10/18, 316.51, 317.34, 315.11, 317.31
05/09/18, 315.93, 316.08, 312.60, 314.42
05/08/18, 317.79, 319.53, 314.95, 315.87
05/04/18, 320.56, 321.00, 316.75, 316.75
05/03/18, 322.83, 322.95, 320.55, 320.55
05/02/18, 323.56, 323.97, 321.99, 322.53
04/30/18, 321.93, 323.58, 321.66, 323.56
04/27/18, 321.39, 322.93, 319.43, 320.80
04/26/18, 315.55, 319.06, 314.95, 318.08
04/25/18, 313.09, 314.43, 312.10, 313.99
04/24/18, 318.24, 318.30, 314.43, 315.86
